date,accountCode,accountName,accountType,accountCategory,amount,paymentsOnly
2025-01-31,63020,Electricity,EXPENSE,Expense,176.78,TRUE
2025-01-31,63030,Medical Waste Removal,EXPENSE,Expense,440,TRUE
2025-01-31,63040,Water Services (SP Group),EXPENSE,Expense,4.69,TRUE
2025-01-31,64000,Entertainments,EXPENSE,Expense,662.74,TRUE
2025-01-31,65100,Stationery,EXPENSE,Expense,317.53,TRUE
2025-01-31,65200,Staff Refreshments,EXPENSE,Expense,5.5,TRUE
2025-01-31,65350,Photocopy Charges & Printing,EXPENSE,Expense,7.66,TRUE
2025-01-31,65400,Fixed Asset Expenses to PL,EXPENSE,Expense,909.01,TRUE
2025-01-31,65500,IT Expenses - Hardware & Software,EXPENSE,Expense,7733.2,TRUE
2025-01-31,65600,Equipment Rental,EXPENSE,Expense,151,TRUE
2025-01-31,65800,Indonesia Office Expenses,EXPENSE,Expense,2300.14,TRUE
2025-01-31,65900,Vietnam Office Expenses,EXPENSE,Expense,4279.99,TRUE
2025-01-31,69100,Realised Exchange Loss/(Gain),EXPENSE,Expense,81.92,TRUE
2025-01-31,91000,Loan Interest - DBS Bank,EXPENSE,Expense,640.74,TRUE
2025-01-31,91004,Loan Interest - OCBC Bank,EXPENSE,Expense,2396.48,TRUE
2025-01-31,91006,Loan Interest - OCBC Bank (USD),EXPENSE,Expense,963.36,TRUE
2025-01-31,41100,Consultation_Outpatient,REVENUE,Revenue,12363.11,TRUE
2025-01-31,41200,Medication_Outpatient,REVENUE,Revenue,28916.64,TRUE
2025-01-31,41300,Laboratory_Outpatient,REVENUE,Revenue,28775.65,TRUE
2025-01-31,41400,Radiology_Outpatient,REVENUE,Revenue,30390.44,TRUE
2025-01-31,41510,Chemotherapy Drugs_Outpatient,REVENUE,Revenue,566949.52,TRUE
2025-01-31,41600,Administration Fee_Outpatient,REVENUE,Revenue,29.8,TRUE
2025-01-31,41700,Facilities Fee_Outpatient,REVENUE,Revenue,73434.48,TRUE
2025-01-31,41910,Procedure_Outpatient,REVENUE,Revenue,26116.25,TRUE
2025-01-31,41920,Others - Outpatient,REVENUE,Revenue,1290,TRUE
2025-01-31,41940,Consumble Fees -  Outpatient,REVENUE,Revenue,35615.19,TRUE
2025-01-31,41999,Discount Given_Outpatient,REVENUE,Revenue,0.02,TRUE
2025-01-31,42100,Consultation_Inpatient,REVENUE,Revenue,5200,TRUE
