date,accountId,accountCode,accountName,accountType,accountCategory,amount,paymentsOnly
2025-04-30,2ad14033-3d13-446a-9616-c23cb12d5218,61056,Charges - Invoice Financing,EXPENSE,Expense,296.73,TRUE
2025-04-30,193f0c46-93d4-4bbf-8992-87730f027f43,61059,Charges - OCBC Loan Facility Fee (OCBC Business Term Loan),EXPENSE,Expense,750,TRUE
2025-04-30,08d59893-b005-4418-8dc5-816d52009e7e,61060,Charges - OCBC Loan Facility Fee (OCBC Working Capital Loan),EXPENSE,Expense,2500,TRUE
2025-04-30,3f66687f-af01-4e44-9050-2b1966ab3b2e,61200,Charges - Wise,EXPENSE,Expense,48.19,TRUE
2025-04-30,49774184-4bd2-4753-a4cd-3e1b4af140a8,61300,Subscriptions,EXPENSE,Expense,1527.82,TRUE
2025-04-30,8aa30876-136f-4e18-ac26-0b158e5c28b4,61400,Insurance Expenses,EXPENSE,Expense,13.8,TRUE
2025-04-30,45260313-4df1-4df0-821e-c169b0c48bee,61860,Other Professional Fees,EXPENSE,Expense,28555.91,TRUE
2025-04-30,56740558-2750-4d26-b13a-497c95d94f9e,61880,Consultancy Fees,EXPENSE,Expense,21000,TRUE
2025-04-30,553b02a8-7501-4f70-a0c4-8a961b2e41bc,61890,Medical Audit Fee,EXPENSE,Expense,3593,TRUE
2025-04-30,ed84222d-ccb0-4d43-9d0e-d8ef73b4020f,61900,Doctor Fees,EXPENSE,Expense,91799.86,TRUE
2025-04-30,204d51ad-a282-4b81-bc11-a8e22f77b0c8,61950,Director Medical Fee,EXPENSE,Expense,43.6,TRUE
2025-04-30,9f47fac3-9af7-42f6-9889-f69ea38eff3e,62000,Maintenance,EXPENSE,Expense,2794,TRUE
2025-04-30,43f2b18b-8d40-4a9b-8f0c-9df8d14bbe1f,62305,Patient Welfare,EXPENSE,Expense,53.21,TRUE
2025-04-30,3758522b-9074-4327-8662-a18308d6664d,62310,Staff Welfare,EXPENSE,Expense,200,TRUE
2025-04-30,bc23cb85-007c-477f-bce1-4d9a9c2080f0,62320,Salary - Doctors,EXPENSE,Expense,20000,TRUE
2025-04-30,eb413225-f1f0-4821-9f48-7c92271ad0c0,62330,Salary - Singapore Staff,EXPENSE,Expense,54657,TRUE
2025-04-30,811ee9e2-94ff-43fe-a52a-37425c4ccce2,62331,Salary - Supporting Staff Allowance,EXPENSE,Expense,1300,TRUE
2025-04-30,05de8ff6-70c0-42c0-9282-59bfba43754d,62334,Salary - Overseas Staff,EXPENSE,Expense,4134.95,TRUE
2025-04-30,ea335c90-f960-4442-84d6-08a05a94faa5,62340,Manpower - SDF & FWL,EXPENSE,Expense,117,TRUE
2025-04-30,b5d2ce46-0499-4ec3-92b7-9a31c565a9a5,62350,Manpower - CPF Employer,EXPENSE,Expense,9290,TRUE
2025-04-30,23a2a2f7-d890-44e1-b3a4-2bcac20f9299,62355,Director Fee,EXPENSE,Expense,15000,TRUE
2025-04-30,eb3aa119-0a3f-4437-8dc7-003fdda3183c,62370,Rental Fee - Overseas,EXPENSE,Expense,916.87,TRUE
2025-04-30,2bec053b-765d-495f-b6da-5df1f47b16a5,62380,Director Remuneration,EXPENSE,Expense,21500,TRUE
2025-04-30,07429637-8f15-4e85-8ed6-16d701df02ae,62410,Marketing Fees/ Referral Fees,EXPENSE,Expense,33415.59,TRUE
2025-04-30,1defda2e-18ab-46b2-baed-2912343a9387,62420,Manpower - With Holding Tax (IND),EXPENSE,Expense,388.48,TRUE
2025-04-30,6b84b350-5bc9-4139-9fd5-9e37952aed17,62430,Marketing Advertising,EXPENSE,Expense,267.88,TRUE
2025-04-30,04a6975f-9cc7-46e0-963c-ae1efa4da3ba,62440,Manpower - BPJS - TK & KS (IND),EXPENSE,Expense,197.01,TRUE
2025-04-30,15866cdd-258c-4392-9489-c8e2abf8b99b,62700,Rental Fee,EXPENSE,Expense,34658,TRUE
2025-04-30,f3b8b8e9-7bf3-441d-b1b3-1b68e567b407,62800,Telephone & Internet,EXPENSE,Expense,983.59,TRUE
2025-04-30,7ae375d3-8b7b-4fc4-8201-cf337f56eff4,62850,Cleaning Expenses,EXPENSE,Expense,50,TRUE
2025-04-30,2a62261d-55e3-4f31-8fb0-fab445bd83f2,62860,Laundry Expenses,EXPENSE,Expense,475,TRUE
2025-04-30,fab6478a-381b-4497-a4a8-02a2afad5857,62900,Transportation,EXPENSE,Expense,289.22,TRUE
2025-04-30,2d6a3497-7a51-47af-bdec-78ebdcd94323,62910,Traveling Overseas,EXPENSE,Expense,1034.38,TRUE
2025-04-30,3b6f9edc-a9a2-4aa3-899c-19064206f778,62930,Motor Vehicle Expenses,EXPENSE,Expense,2905,TRUE
2025-04-30,443db686-31f1-4e3c-b098-279dad94b292,63020,Electricity,EXPENSE,Expense,671.7,TRUE
2025-04-30,297a7275-e243-46be-972c-d8070b858551,63030,Medical Waste Removal,EXPENSE,Expense,660,TRUE
2025-04-30,5156e31c-6bdd-4dcb-8b7a-12d614820557,63040,Water Services (SP Group),EXPENSE,Expense,10.61,TRUE
2025-04-30,f4476504-02bd-482b-8ab6-4e6652d086b2,64000,Entertainments,EXPENSE,Expense,334.58,TRUE
2025-04-30,3cfc686b-cea0-41c2-adcf-9e01b2f8bfd7,65100,Stationery,EXPENSE,Expense,68.37,TRUE
2025-04-30,20c1c392-ae6c-423c-823d-dcbe2c8ed403,65350,Photocopy Charges & Printing,EXPENSE,Expense,6.63,TRUE
2025-04-30,edfe8529-9f1b-460f-bff7-0cc82c29decc,65400,Fixed Asset Expenses to PL,EXPENSE,Expense,293.39,TRUE
2025-04-30,1d710cb1-01cd-4e93-8753-9566091425c5,65500,IT Expenses - Hardware & Software,EXPENSE,Expense,540,TRUE
2025-04-30,8bde7ee6-b341-4fdc-9990-d5b1cc653d7b,65600,Equipment Rental,EXPENSE,Expense,409,TRUE
2025-04-30,57069142-e554-46a0-b4f8-4c5116c80089,65800,Indonesia Office Expenses,EXPENSE,Expense,5950.75,TRUE
2025-04-30,ec24e5b7-a129-4915-afef-0c37379fc6d9,65900,Vietnam Office Expenses,EXPENSE,Expense,1140.51,TRUE
2025-04-30,77ca3065-ea93-418b-ae85-5558cb3f0129,69100,Realised Exchange Loss/(Gain),EXPENSE,Expense,29.93,TRUE
2025-04-30,75708731-4ee5-4d48-875e-53577d9327cf,91004,Loan Interest - OCBC Bank,EXPENSE,Expense,2241.36,TRUE
2025-04-30,c89c0218-24cd-4b11-98aa-8ee0f42b75ba,41100,Consultation_Outpatient,REVENUE,Revenue,15777.6,TRUE
2025-04-30,e8d9ac5a-f037-41c8-abf0-2d5483001101,41200,Medication_Outpatient,REVENUE,Revenue,33066.88,TRUE
2025-04-30,f2455d43-0759-4f7a-9f15-01e6dfe5c0e2,41300,Laboratory_Outpatient,REVENUE,Revenue,23666.12,TRUE
2025-04-30,6e357068-fedd-42fc-8ae7-6295290a2c6b,41400,Radiology_Outpatient,REVENUE,Revenue,26391.6,TRUE
2025-04-30,f1190d8b-beb7-444b-9737-e0ecb9fc3b29,41510,Chemotherapy Drugs_Outpatient,REVENUE,Revenue,599530.48,TRUE
2025-04-30,1eae2b75-7490-4af3-9e98-a73f3abd7eeb,41600,Administration Fee_Outpatient,REVENUE,Revenue,727.9,TRUE
2025-04-30,980d31c5-5f18-4933-bca0-586c3eca85bc,41700,Facilities Fee_Outpatient,REVENUE,Revenue,76544.11,TRUE
2025-04-30,f06b46be-3358-4dec-bf57-f44825918345,41800,Health Screening_Outpatient,REVENUE,Revenue,798,TRUE
2025-04-30,c5f5a131-253c-499f-a6c0-f55a856d6fb9,41910,Procedure_Outpatient,REVENUE,Revenue,23033.83,TRUE
2025-04-30,3731ef44-e8ce-4b20-b758-a25acfc0cdbe,41920,Others - Outpatient,REVENUE,Revenue,1.89,TRUE
2025-04-30,9b0e9754-011c-4a39-ba78-68171111c79e,41940,Consumble Fees -  Outpatient,REVENUE,Revenue,31415.9,TRUE
2025-04-30,e6ca2daa-86e1-4c06-8019-ff8549a95c18,42100,Consultation_Inpatient,REVENUE,Revenue,2100,TRUE
